id,name,country,wealth_source,years_as_billionaire,net_worth_best_usd_billions,net_worth_as_of,liquidity_pct,tier,tier_rank,observable_giving_usd,expected_giving_usd,hidden_upper_usd,obs_vs_capacity_ratio,obs_vs_nw_ratio,giving_pledge_signed,sources_count,cited_event_count,right_of_reply_status,red_flags,foundations_active,llcs,profile_url
thomas_peterffy,Thomas Peterffy,United States,"Founder, chairman, and largest shareholder of Interactive Brokers Group (IBKR); pioneer of electronic securities trading. Concentrated position in IBKR common stock (publicly traded).",20,82.9,2026-04,0.35,A_VERIFIED_LOW,1,48971159,2901500000,160000000,0.01688,0.000591,False,18,17,not_yet_requested,LOW_PROFILE_PHILANTHROPY; POLITICAL_DOMINATES_CHARITABLE; DORMANT_SECONDARY_FOUNDATION; NO_GIVING_PLEDGE_NO_ESTATE_DISCLOSURE; NET_WORTH_SURGE_WITHOUT_GIVING_MATCH; LOW_PAYOUT_PETERFFY_FOUNDATION,The Peterffy Foundation; Balance for Freedom Inc,0,profile.html?id=thomas_peterffy
rupert_murdoch,Rupert Murdoch,United States (naturalized 1985; born Australia),"News Corp / Fox Corp founder and controlling shareholder via Murdoch Family Trust (Cruden Financial Services, sole trustee). 1999 divorce from Anna Torv converted a portion of holdings into the family trust; 2025 $3.3B settlement restructured beneficial interests.",35,22.7,2026-04,0.15,A_VERIFIED_LOW,2,8000000,340500000,15000000,0.0235,0.000352,False,26,10,not_yet_requested,NO_GIVING_PLEDGE_SIGNATURE; DORMANT_FOUNDATION; FORBES_LOWEST_PHILANTHROPY_SCORE; CORPORATE_PHILANTHROPY_MASKS_PERSONAL; TRUST_STRUCTURE_NON_CHARITABLE,,0,profile.html?id=rupert_murdoch
elon_musk,Elon Musk,United States,"Tesla (CEO, ~13% stake); SpaceX (founder, ~42% stake, private); xAI (founder, ~50% stake); X Corp. (owner); Neuralink; The Boring Company",14,811.2,2026-04,0.15,A_VERIFIED_LOW,3,500000000,12168000000,599500000,0.0411,0.000616,False,30,11,not_yet_requested,GIVING_PLEDGE_UNFULFILLED; POLITICAL_DOMINATES_CHARITABLE; LOW_PAYOUT; DAF_TRANSFERS; FOUNDATION_TO_SELF; NO_OBSERVABLE_GIVING_RELATIVE_TO_WEALTH; NET_WORTH_SURGE_WITHOUT_GIVING_MATCH,Musk Foundation,0,profile.html?id=elon_musk
larry_page,Larry Page,United States,"Google / Alphabet co-founder (1998); holds ~6% of Alphabet (Class B supervoting + Class C). Also longevity startup investments (Calico funded through Alphabet, not personally philanthropic). Recent AI startup (Dynatomics, reported 2025).",22,269,2026-04,0.3,A_VERIFIED_LOW,4,1782643000,8070000000,400000000,0.22,0.00662,False,39,15,not_yet_requested,NO_GIVING_PLEDGE; DAF_TRANSFERS_SEVERE; LOW_OBSERVABLE_RELATIVE_TO_WEALTH; LOW_PAYOUT_HISTORICAL; FOUNDATION_ACCUMULATION_OUTPACES_DISBURSEMENT; TAX_MINIMIZATION_PATTERN_WITHOUT_GIVING_MATCH; LONGEVITY_INTEREST_NOT_PHILANTHROPIC,The Carl Victor Page Memorial Foundation,0,profile.html?id=larry_page
abigail_johnson,Abigail Johnson,United States,Heir + operator. Chair/CEO/President of Fidelity Investments (FMR LLC); family and affiliates own ~40% of Fidelity. Grandfather Edward C. Johnson II founded Fidelity in 1946. Private company — valuations span widely.,25,35.0,2026-04,0.15,B_PROBABLY_LOW,,816100000,525000000,1200000000,1.55,0.0233,False,13,15,not_yet_requested,PRIVATE_FAMILY_OPACITY; LOW_PAYOUT_CANDIDATE_ECJF; LOW_PAYOUT_CANDIDATE_FIDELITY_FOUNDATION; CORPORATE_PERSONAL_ATTRIBUTION_AMBIGUITY,Edward C. Johnson Fund; The Fidelity Foundation,0,profile.html?id=abigail_johnson
alice_walton,Alice Walton,United States,"Walmart Inc. — only daughter of founder Sam Walton. Walton family collectively owns ~45% of Walmart through Walton Enterprises LLC and Walton Family Holdings Trust. Wealth held primarily via trust structures rather than direct equity. Also founder/principal of Crystal Bridges Museum of American Art, Art Bridges Foundation, Heartland Whole Health Institute, and Alice L. Walton School of Medicine.",30,134,2026-04,0.2,B_PROBABLY_LOW,,2196680300,2680000000,1147280000,0.82,0.01639,False,31,26,not_yet_requested,NO_GIVING_PLEDGE_SIGNATURE; LOW_PAYOUT_ALWF; LOW_OBSERVABLE_VS_WEALTH; POLITICAL_SURGE_2024; JOINT_FAMILY_FOUNDATION_OPACITY; ART_BRIDGES_COLLECTION_VS_GRANTS_AMBIGUITY,Alice L Walton Foundation; Art Bridges Inc (Art Bridges Foundation); Heartland Whole Health Institute; Alice L. Walton School of Medicine (AWSOM); Crystal Bridges Museum of American Art,0,profile.html?id=alice_walton
charles_koch,Charles Koch,United States,"Koch Industries (chairman, co-CEO, majority owner after buying out David Koch estate and other siblings). Privately held — oil refining, chemicals, pipelines, paper, fertilizer, commodity trading. Also significant private-equity and real-estate holdings via Koch Industries.",40,68,2026-04,0.15,B_PROBABLY_LOW,,996361458,1020000000,150000000,1.075,0.0161,False,18,17,not_yet_requested,POLITICAL_SUBSTITUTION_DOMINANT; NO_GIVING_PLEDGE_SIGNATURE; C4_ADVOCACY_HEAVY; FOUNDATION_PAYOUT_DECLINING; LATE_LIFE_LEGACY_C4_TILT,Charles Koch Foundation; Charles Koch Foundation II; Charles J And Elizabeth R Koch Tr Charitable Private Foundation; Stand Together Foundation; Stand Together Fellowship (formerly Charles Koch Institute),0,profile.html?id=charles_koch
harold_hamm,Harold Hamm,United States,Continental Resources — founder and executive chairman. 83%+ family stake. Pioneered Bakken shale fracking. Took company private in Nov 2022 via Omega Acquisition Inc. ($4.3B cash to minority shareholders; family pre-owned the rest).,18,17.0,2026-04,0.1,B_PROBABLY_LOW,,80200000,170000000,1517000000,0.472,0.00472,False,20,12,not_yet_requested,GIVING_PLEDGE_UNFULFILLED; POLITICAL_DOMINATES_CHARITABLE_RECENT_CYCLES; POLITICAL_CHARITABLE_BLURRING; PRIVATE_COMPANY_LIQUIDITY_LOCK; POLITICAL_ADVOCACY_VEHICLES_FOUNDED,The Harold Hamm Foundation,0,profile.html?id=harold_hamm
jeff_bezos,Jeff Bezos,United States,Amazon.com founder (~8.6% stake after post-2019 divorce split with MacKenzie Scott); Blue Origin (100% private); Washington Post (100% private via Nash Holdings),28,239.4,2026-04,0.55,B_PROBABLY_LOW,,3450000000,13167000000,800000000,0.262,0.0144,False,44,22,not_yet_requested,NO_GIVING_PLEDGE_SIGNATURE; PLEDGE_BEHIND_SCHEDULE; LLC_OPACITY,Bezos Earth Fund Foundation,3,profile.html?id=jeff_bezos
jensen_huang,Jensen Huang,United States,"Nvidia Corp. co-founder and CEO since 1993; ~3% ownership stake in Nvidia (world's most valuable company as of 2026). Wealth is concentrated in Nvidia stock held in his name, in a family trust, and via the Huang Foundation + GeForce Fund DAF.",9,170.0,2026-04,0.35,B_PROBABLY_LOW,,338000000,5355000000,2170000000,0.0631,0.00199,False,28,17,not_yet_requested,LOW_PAYOUT; DAF_TRANSFERS; NET_WORTH_SURGE_WITHOUT_GIVING_MATCH,The Jen-Hsun and Lori Huang Foundation,0,profile.html?id=jensen_huang
jim_walton,Jim Walton,United States,"Walmart Inc. — youngest surviving son of founder Sam Walton. Walton family collectively owns ~45% of Walmart. Jim's primary operational vehicle is Arvest Bank (44% personal stake, ~$26B assets, ~$2.3B book value Dec 2025 FDIC filing); served as Arvest CEO until 2024, now Chairman of Arvest Bank Group. Walmart board director 2005-present (joined after brother John's 2005 death). Chairs Community Publishers Inc. (newspaper firm).",33,142.4,2026-02,0.2,B_PROBABLY_LOW,,1350009518,2848000000,2047336825,0.474,0.00948,False,26,17,not_yet_requested,NO_GIVING_PLEDGE_SIGNATURE; LOW_OBSERVABLE_VS_WEALTH; LEAST_PUBLICLY_PHILANTHROPIC_SIBLING; POLITICAL_ACTIVITY_2024; JOINT_FAMILY_FOUNDATION_OPACITY,Walton Family Foundation Inc; Town Branch Foundation,0,profile.html?id=jim_walton
julia_koch,Julia Koch,United States,"Inherited 42% stake in Koch Industries (second-largest privately held U.S. company, ~$125B annual revenue) from husband David H. Koch upon his death August 23, 2019. Also family-office holdings, NY sports-team stakes (15% BSE Global acquired June 2024 — Brooklyn Nets, NY Liberty; 10% NY Giants acquired October 2025).",7,81.2,2026-04,0.15,B_PROBABLY_LOW,,84460249,852000000,165740000,0.0991,0.00104,False,16,15,not_yet_requested,NO_GIVING_PLEDGE_SIGNATURE; ESTATE_TRANSITION_GIVING_COLLAPSE; 501C4_SOCIAL_WELFARE_SUBSTITUTION; NET_WORTH_SURGE_WITHOUT_GIVING_MATCH; PREFERS_SPORTS_TEAMS_OVER_CHARITY,David H. Koch Charitable Foundation; Julia Koch Family Foundation; Julia Koch Family Philanthropy Fund; Mary Julia Koch Foundation,0,profile.html?id=julia_koch
ken_griffin,Ken Griffin,United States,"Founder and CEO of Citadel LLC (hedge fund, ~$69B AUM) and Founder/Non-Executive Chairman of Citadel Securities (market maker). Both privately held.",23,50.7,2026-04,0.4,B_PROBABLY_LOW,,981544220,2028000000,1600000000,0.484,0.0194,False,26,19,not_yet_requested,NO_GIVING_PLEDGE_SIGNATURE; POLITICAL_HEAVY; DAF_OPACITY; NAMING_RIGHTS_DOMINANT,Citadel Group Foundation (a.k.a. The Citadel Foundation),1,profile.html?id=ken_griffin
